Media Sources,Compound Score,Positive Score,Neutral Score,Negative Score,Tweet Text,Tweet ID,Date,Time_diff,Tweets Ago
New York Times,0.0,0.0,1.0,0.0,"NYT markets reporter @MatthewPhillips writes, “Economists are starting to look into whether the rise of so-called s… https://t.co/qGY01Bzllj",1025461800677109762,2018-08-03 19:22:00,0.1361111111111111,63
New York Times,0.4215,0.123,0.877,0.0,But the $1 trillion milestone has implications for more than just Apple — it also reflects the rise of powerful meg… https://t.co/wwDAXkRdxP,1025460559142182912,2018-08-03 19:17:04,0.08222222222222222,64
New York Times,0.2263,0.101,0.899,0.0,"Put another way, at $1 trillion, Apple is now worth more than the entire American media industry… https://t.co/1z7vKmkBut",1025459150749347843,2018-08-03 19:11:28,0.09333333333333334,65
New York Times,0.3008,0.137,0.863,0.0,"For reference, Apple going from $3 billion to $1,000,000,000,000 looks a little something like this:… https://t.co/rWsHUb5BCC",1025458134888931329,2018-08-03 19:07:26,0.06722222222222222,66
New York Times,-0.5118,0.0,0.852,0.148,"Apple’s $1 trillion mark is even more notable because… the company was almost bankrupt 2 decades ago. In 1996, the… https://t.co/ylMAzjV93P",1025457201249492992,2018-08-03 19:03:43,0.06194444444444445,67
New York Times,0.0258,0.061,0.939,0.0,"Apple just became the first publicly traded American company to reach the $1,000,000,000,000 mark. Here’s how many… https://t.co/Cn8b7B6ywJ",1025456295757979648,2018-08-03 19:00:07,0.06,68
New York Times,0.6705,0.234,0.766,0.0,Economists are split on whether the second quarter's 4.1 percent economic growth is good or a sign of impending doo… https://t.co/jXCMRywSSh,1025453014075756550,2018-08-03 18:47:05,0.21722222222222223,69
New York Times,0.0516,0.106,0.795,0.098,"Democrats are hoping to pick up a pair of House seats in Kansas, making the state as pivotal to the battle for cont… https://t.co/PKMwP1xKgU",1025450006034169858,2018-08-03 18:35:08,0.19916666666666666,70
New York Times,0.0,0.0,1.0,0.0,"The idea: a sunflower viewing for tourists.
The result: ""a zombie apocalypse.""
https://t.co/egU3O4kVvZ",1025447475291860992,2018-08-03 18:25:04,0.16777777777777778,71
New York Times,-0.3612,0.059,0.802,0.139,"A Japanese medical school manipulated women's test scores to prevent their admission, saying they were more likely… https://t.co/9rFuHQZ6Dj",1025443700476968965,2018-08-03 18:10:04,0.25,72
New York Times,0.5574,0.338,0.539,0.123,"Sure, they're gross, but do cockroaches carry diseases? Glad you asked. https://t.co/ksPmpTqoJA",1025439909514018819,2018-08-03 17:55:00,0.2511111111111111,73
New York Times,0.25,0.095,0.905,0.0,"With two tweets and his caps lock on, President Trump endorsed John James in the Michigan Republican primary, givin… https://t.co/ZGW54hPST0",1025436159550341122,2018-08-03 17:40:06,0.24833333333333332,74
New York Times,-0.7556,0.086,0.617,0.297,"RT @Emily_Baum: EXCLUSIVE: According to FOIA'ed docs, doctors have prescribed cancer pain opioids to patients with other conditions, despit…",1025432388195758080,2018-08-03 17:25:07,0.24972222222222223,75
New York Times,0.3612,0.122,0.878,0.0,"Here's why and under what circumstances journalists might agree to use information that's ""off the record"" or from… https://t.co/4X9JruObqu",1025428622214160385,2018-08-03 17:10:09,0.24944444444444444,76
New York Times,-0.5106,0.139,0.605,0.256,An attack on Italy's champion discus thrower has hurled the country into a new debate over whether racism is bloomi… https://t.co/j5gs6oz1sf,1025421053999427585,2018-08-03 16:40:05,0.5011111111111111,77
New York Times,0.0,0.0,1.0,0.0,Here's a recipe to file away for an upcoming seasonal bounty of zucchini https://t.co/kUZ9aSV4f3,1025417478472691714,2018-08-03 16:25:52,0.23694444444444446,78
New York Times,-0.6808,0.0,0.763,0.237,"Desperate to keep a job that was her way out of poverty, she tried using hypertension pills, a knitting needle and… https://t.co/hmWh30zJgk",1025412012229189633,2018-08-03 16:04:09,0.36194444444444446,79
New York Times,0.5994,0.187,0.813,0.0,"""You started understanding the life of the people, how they lived, what they thought, who they loved"" https://t.co/8xcwoOAEvW",1025411277928243200,2018-08-03 16:01:14,0.04861111111111111,80
New York Times,0.0,0.0,1.0,0.0,RT @DavidWaldstein: It is the 39th anniversary of Thurman Munson’s passing. Newly uncovered documents reveal his heart-rending final moment…,1025188767597043712,2018-08-03 01:17:03,14.73638888888889,81
New York Times,0.4404,0.139,0.861,0.0,Clara Lemlich Shavelson is sometimes remembered as an anonymous “wisp of a girl.” But she was an influential woman… https://t.co/ffKnt23C3U,1025184993407107073,2018-08-03 01:02:04,0.24972222222222223,82
New York Times,0.0,0.0,1.0,0.0,How many other companies would you need to combine to get to one Apple? We'll show you. https://t.co/SkNfwU4CqO https://t.co/BoZdmpIYiD,1025181269204848640,2018-08-03 00:47:16,0.24666666666666667,83
New York Times,0.6249,0.203,0.797,0.0,"RT @nytvideo: Is Russia trying to influence the U.S. midterm elections? Yes, according to the heads of the country’s national security agen…",1025176187428065280,2018-08-03 00:27:04,0.33666666666666667,84
New York Times,0.0,0.0,1.0,0.0,First election results are coming in from the Tennessee primary. Follow the vote here. https://t.co/VwXIrHRtWi,1025172405201850369,2018-08-03 00:12:02,0.25055555555555553,85
New York Times,-0.5994,0.0,0.786,0.214,"They were allowed to cast ballots. Later they were arrested. In North Carolina, 12 people were charged with felonie… https://t.co/Lc185rL6gj",1025169890540445697,2018-08-03 00:02:03,0.1663888888888889,86
New York Times,0.0,0.0,1.0,0.0,The hominins who lived on this Indonesian island were small. So are some modern humans living there now. But it's n… https://t.co/MQjn8N2uiF,1025166114698014720,2018-08-02 23:47:03,0.25,87
New York Times,0.0,0.0,1.0,0.0,Artists and art professionals from around Los Angeles have been voicing concerns about the appointment of Klaus Bie… https://t.co/DTEzxdBhMZ,1025162341699280896,2018-08-02 23:32:03,0.25,88
New York Times,0.0,0.0,1.0,0.0,RT @nytgraphics: We’ll have live results tonight for the Tennessee primary elections. Polls close at 8 p.m. Eastern. https://t.co/D0DATaXGCS,1025158582222946304,2018-08-02 23:17:07,0.24888888888888888,89
New York Times,-0.5574,0.0,0.847,0.153,"Hemingway wrote five short stories in 1956, telling his publisher they could be released after he died. Only one of… https://t.co/5BaGc0bP39",1025154825665896453,2018-08-02 23:02:11,0.24888888888888888,90
New York Times,0.0,0.0,1.0,0.0,Evening Briefing: Here's what you need to know at the end of the day https://t.co/1MalfXYU3i,1025151028495310849,2018-08-02 22:47:06,0.2513888888888889,91
New York Times,0.0,0.0,1.0,0.0,"Mayors and city planners have long dreamed of making the Chicago River a busy, dazzling waterfront. It might have f… https://t.co/iShHkTnxLi",1025147246604705792,2018-08-02 22:32:04,0.25055555555555553,92
New York Times,-0.0258,0.09,0.815,0.094,"RT @emmagf: “We’re continuing to create jobs, the population is increasing, we’re building new housing — there’s no objective reason for su…",1025143463732498432,2018-08-02 22:17:02,0.25055555555555553,93
New York Times,0.0,0.0,1.0,0.0,"As the #MeToo movement emerged, former Ohio State wrestlers found memories surging back. Now they're dealing with a… https://t.co/xKqRZWmTUo",1025139232103428098,2018-08-02 22:00:13,0.2802777777777778,94
New York Times,0.2748,0.1,0.9,0.0,"Sweden's tallest peak is melting in record heat — melting enough, in fact, that it almost certainly isn't the talle… https://t.co/3Jv6FotZE6",1025135937406332931,2018-08-02 21:47:08,0.21805555555555556,95
New York Times,0.0,0.0,1.0,0.0,"RT @gettleman: “I’ll be honest,” said Mohammad Aslam, a seemingly forthright police commander in southern Kashmir. “For every militant we k…",1025130632442204161,2018-08-02 21:26:03,0.35138888888888886,96
New York Times,-0.5859,0.098,0.65,0.252,"A Chinese company that broke sanctions on Iran and North Korea and was labeled a ""national security threat"" in the… https://t.co/pMLxsIuoRx",1025126858743066624,2018-08-02 21:11:03,0.25,97
